"division_numeric_code","start_date","end_date","is_in_union","age_range","data_series_type","group_type_relative_to_baseline","contraceptive_use_modern","contraceptive_use_traditional","contraceptive_use_any","unmet_need_any","geographical_region_bias_reason","has_non_pregnant_and_other_positive_biases","age_group_bias","modern_method_bias","has_absence_of_probing_questions_bias","se_modern","se_traditional","se_unmet_need","se_log_r_modern_no_use","se_log_r_traditional_no_use","se_log_r_unmet_no_need","source_id"
50,2017.747945,2018.243836,"Y","15-49","DHS","MW",0.5189375588,0.09952345062,0.6184610094,0.1199055455,"","N","None","None","N",0.00554988,0.00255942,0.003463319,0.023826267,0.030734234,0.031121416,7475
50,2019.049315,2019.413699,"Y","15-49","MICS","MW",0.5911444072,0.03587329232,0.6270176995,0.1368997889,"","N","None","None","Y",NA,NA,NA,NA,NA,NA,7575
52,1980,1981,"Y","15-49","Other","MW",0.446240093,0.0191933979,0.4654334909,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,108
52,1988,1988,"Y","15-49","Other","MW",0.5335,0.0165,0.55,NA,"","N","?","None","N",NA,NA,NA,NA,NA,NA,2778
52,2012.330601,2012.830601,"Y","15-49","MICS","MW",0.5538457469,0.03822275429,0.5920685012,0.199,"","N","None","None","Y",0.018548752,0.006588875,0.017118297,0.074662156,0.177255487,0.124255671,4986
112,1995,1995,"Y","15-49","National survey","MW",0.421,0.083,0.504,NA,"","N","+","None","N",NA,NA,NA,NA,NA,NA,2850
112,2005.832877,2005.99726,"Y","15-49","MICS","MW",0.5703718174,0.155725121,0.7260969384,NA,"","N","None","None","Y",0.012042544,0.01120288,NA,0.052566234,0.093792284,NA,666
112,2012.237705,2012.5,"Y","15-49","MICS","MW",0.5193332514,0.1112457545,0.6305790059,0.07,"","N","None","None","Y",0.010676314,0.006064029,0.007066456,0.045990601,0.065919728,0.068141451,4987
112,2017,2017.912329,"Y","15-49","Other","MW",0.5927,0.1188,0.7115,NA,"","N","+","+","Y",NA,NA,NA,NA,NA,NA,7498
112,2019.161644,2019.493151,"Y","15-49","MICS","MW",0.459,0.065,0.526,0.175,"","N","None","None","Y",NA,NA,NA,NA,NA,NA,7576
56,1966,1966,"Y","15-49","National survey","MW",0.108,0.612,0.72,NA,"Data pertain to the Flemish population only.","N","+","+","N",NA,NA,NA,NA,NA,NA,4955
56,1975,1976,"Y","15-49","National survey","MW",0.4785,0.3915,0.87,NA,"Data pertain to the Flemish population only.","N","+","+","N",NA,NA,NA,NA,NA,NA,4956
56,1982,1983,"Y","15-49","National survey","MW",0.6318,0.1782,0.81,NA,"Data pertain to the Flemish population only.","N","+","+","N",NA,NA,NA,NA,NA,NA,2725
56,1991.161644,1992.997268,"Y","15-49","Other","MW",0.7430012102,0.04086325131,0.7838644615,0.034,"Data pertain to the Flemish population only.","N","+","+","Y",NA,NA,NA,NA,NA,NA,2803
56,2008.084699,2010.410959,"Y","15-49","Other","MW",0.728,0.009,0.737,NA,"","N","+","+","Y",NA,NA,NA,NA,NA,NA,5427
56,2013,2013.99726,"Y","15-49","National survey","MW",0.6590758983,0.00845576508,0.6675316634,NA,"","N","-","None","N",NA,NA,NA,NA,NA,NA,7346
56,2018.580822,2018.99726,"Y","15-49","National survey","MW",0.654,0.013,0.667,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,7499
84,1991.038356,1991.134247,"Y","15-49","Other","MW",0.431024646,0.03663188254,0.4687178815,0.257,"","N","?","None","N",NA,NA,NA,NA,NA,NA,779
84,1999.827397,1999.950685,"Y","15-49","National survey","MW",0.5095,0.0515,0.561,0.208,"","N","?","None","N",NA,NA,NA,NA,NA,NA,154
84,2011.446575,2011.591781,"Y","15-49","MICS","MW",0.5198317898,0.03173681266,0.5515686025,0.159,"","N","None","None","Y",0.013150234,0.00361143,0.00883782,0.054088398,0.121308024,0.064319466,4988
84,2015.79726,2016.081967,"Y","15-49","MICS","MW",0.4845323448,0.02906429123,0.513596636,0.222482739,"","N","None","None","N",0.011202025,0.003902096,0.009781747,0.045837082,0.141238161,0.066991304,5761
204,1982,1982.745205,"Y","15-49","Other","MW",0.007,0.059,0.066,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,697
204,1996.415301,1996.663934,"Y","15-49","DHS","MW",0.03424739737,0.1298002285,0.1640476259,0.2766792586,"","N","None","None","N",0.003438431,0.007541354,0.008035259,0.104695609,0.067152822,0.043306793,1780
204,2001.580822,2001.912329,"Y","15-49","DHS","MW",0.0718321174,0.1140988824,0.1859309998,0.2793150715,"","N","None","None","N",0.004613796,0.005660683,0.00743533,0.070687631,0.057211353,0.038805846,1761
204,2006.580822,2006.912329,"Y","15-49","DHS","MW",0.06149999212,0.1086408932,0.1701408854,0.2728751069,"","N","None","None","N",0.002496845,0.004026756,0.004735472,0.044125428,0.042179746,0.024153591,694
204,2011.915068,2012.245902,"Y","15-49","DHS","MW",0.07895987111,0.0503867476,0.1293466187,0.325608704,"","N","None","None","N",0.003327964,0.003568439,0.005488242,0.046985398,0.075799029,0.025197442,4493
204,2014.328767,2014.328767,"Y","15-49","MICS","MW",0.1235804714,0.05505124114,0.1786317125,0.3314087487,"","N","None","None","Y",0.005246142,0.003663797,0.005913763,0.048492909,0.070514085,0.028204568,5665
204,2017.846575,2018.158904,"Y","15-49","DHS","MW",0.1203575813,0.03473776155,0.1550953429,0.3231660964,"","N","None","None","N",0.004284371,0.002293361,0.005585877,0.040802014,0.069001959,0.026461916,6055
64,2000,2000,"Y","15-49","National survey","MW",0.307,NA,0.307,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,630
64,2010.246575,2010.643836,"Y","15-49","MICS","MW",0.6538392636,0.0022017043,0.6560409679,0.117,"","N","None","None","Y",0.0065213,0.000601695,0.005781274,0.028619376,0.271710608,0.049946915,4989
68,1989.161644,1989.578082,"Y","15-49","DHS","MW",0.1224721146,0.1802923434,0.3027644579,0.357,"","N","None","None","N",NA,NA,NA,NA,NA,NA,1768
68,1993.832877,1994.410959,"Y","15-49","DHS","MW",0.1778006253,0.2754245161,0.4532251415,0.2888754129,"","N","None","None","N",0.008243571,0.007710769,0.00847741,0.060874296,0.04248878,0.042991408,1769
68,1998.161644,1998.745205,"Y","15-49","DHS","MW",0.2521416154,0.2311550301,0.4832966455,0.265551806,"","N","None","None","N",0.007246148,0.006501171,0.006754971,0.041257076,0.039616034,0.039987399,1766
68,2000.620219,2000.871585,"Y","15-49","MICS","MW",0.3049482773,0.2294456612,0.5343939386,NA,"","N","None","None","N",0.011711004,0.009379604,NA,0.05954835,0.057260145,NA,1930
68,2003.580822,2004.081967,"Y","15-49","DHS","MW",0.3491178631,0.234435196,0.5835530592,0.2282551584,"","N","None","None","N",0.009282989,0.007977802,0.00637132,0.040225965,0.043412542,0.041626442,1844
68,2008.084699,2008.494536,"Y","15-49","DHS","MW",0.3456356995,0.2606618493,0.6062975488,0.2012933457,"","N","None","None","N",0.008140032,0.006877745,0.005885171,0.038647811,0.038078944,0.040366804,4492
68,2016.336066,2016.745902,"Y","15-49","National survey","MW",0.451,0.213,0.665,0.232,"","N","None","None","N",NA,NA,NA,NA,NA,NA,7485
